chi,U_m_s,PPWz,esquema,regime_analitico,k_m-1,m_m-1,k_sobre_m,lambda_z_m,dz_m,omega_intrinseca_analitica_s-1,omega_intrinseca_numerica_s-1,omega_observada_analitica_s-1,omega_observada_numerica_s-1,erro_rel_intrinseca_pct,residuo_omega_observada_sobre_N_pct
0.2,15.0,4,"Nao-alternada, 2a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.003663915706895132,0.0,-0.0012639157068951318,52.66315445396382,10.532630890792765
0.2,15.0,4,"Nao-alternada, 4a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.0028057494390140553,0.0,-0.0004057494390140551,16.906226625585628,3.3812453251171255
0.2,15.0,4,"Compacto (Pade), 4a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.0025084313687639033,0.0,-0.00010843136876390307,4.517973698495961,0.9035947396991922
0.2,15.0,4,"Alternada (Lorenz), 2a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.00265335679249054,0.0,-0.0002533567924905399,10.556533020439163,2.111306604087833
0.2,15.0,6,"Nao-alternada, 2a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.0028756205601347764,0.0,-0.0004756205601347762,19.817523338949005,3.9635046677898016
0.2,15.0,6,"Nao-alternada, 4a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.002483810910655544,0.0,-8.381091065554373e-05,3.4921212773143218,0.6984242554628645
0.2,15.0,6,"Compacto (Pade), 4a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.002417655044940409,0.0,-1.76550449404087e-05,0.7356268725170291,0.14712537450340585
0.2,15.0,6,"Alternada (Lorenz), 2a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.0025084313687639033,0.0,-0.00010843136876390307,4.517973698495961,0.9035947396991922
0.2,15.0,8,"Nao-alternada, 2a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.00265335679249054,0.0,-0.0002533567924905399,10.556533020439163,2.111306604087833
0.2,15.0,8,"Nao-alternada, 4a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.0024274563407023584,0.0,-2.7456340702358174e-05,1.1440141959315906,0.22880283918631814
0.2,15.0,8,"Compacto (Pade), 4a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.0024052521187557753,0.0,-5.25211875577504e-06,0.21883828149062667,0.04376765629812533
0.2,15.0,8,"Alternada (Lorenz), 2a ordem",propagante,0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.0024602052906749967,0.0,-6.0205290674996467e-05,2.5085537781248526,0.5017107556249706
0.4,15.0,4,"Nao-alternada, 2a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.006785245829293631,0.0,-0.0019852458292936304,41.35928811028396,16.543715244113585
0.4,15.0,4,"Nao-alternada, 4a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.0054871471203226906,0.0,-0.0006871471203226901,14.315565006722707,5.726226002689084
0.4,15.0,4,"Compacto (Pade), 4a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.004988138726646583,0.0,-0.00018813872664658234,3.9195568051371317,1.5678227220548526
0.4,15.0,4,"Alternada (Lorenz), 2a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.0052344933315764015,0.0,-0.0004344933315764011,9.051944407841688,3.6207777631366755
0.4,15.0,6,"Nao-alternada, 2a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.00560077292488681,0.0,-0.0008007729248868094,16.682769268475194,6.673107707390079
0.4,15.0,6,"Nao-alternada, 4a ordem",propagante,0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.004945704681402265,0.0,-0.00014570468140226445,3.0355141958805087,1.2142056783522037
