scheme,k_over_m,vertical_wavelength_m,PPWz,dz_m,relative_frequency_error_pct,observed_order_last_four_resolutions
"Non-staggered, second order",1.0,2000.0,4.0,500.0,19.29790952552345,1.9912075597833356
"Non-staggered, second order",1.0,2000.0,5.0,400.0,12.766495598084976,1.9912075597833356
"Non-staggered, second order",1.0,2000.0,6.0,333.3333333333333,8.981938736727777,1.9912075597833356
"Non-staggered, second order",1.0,2000.0,8.0,250.0,5.101133884967734,1.9912075597833356
"Non-staggered, second order",1.0,2000.0,10.0,200.0,3.2756948347654213,1.9912075597833356
"Non-staggered, second order",1.0,2000.0,12.0,166.66666666666666,2.278293404136874,1.9912075597833356
"Non-staggered, second order",1.0,2000.0,16.0,125.0,1.2832551042578635,1.9912075597833356
"Non-staggered, fourth order",1.0,2000.0,4.0,500.0,7.816909150291294,3.9254119471846183
"Non-staggered, fourth order",1.0,2000.0,5.0,400.0,3.4997406157741917,3.9254119471846183
"Non-staggered, fourth order",1.0,2000.0,6.0,333.3333333333333,1.7738992567358762,3.9254119471846183
"Non-staggered, fourth order",1.0,2000.0,8.0,250.0,0.5909673982988286,3.9254119471846183
"Non-staggered, fourth order",1.0,2000.0,10.0,200.0,0.24813288091591074,3.9254119471846183
"Non-staggered, fourth order",1.0,2000.0,12.0,166.66666666666666,0.12131856124793948,3.9254119471846183
"Non-staggered, fourth order",1.0,2000.0,16.0,125.0,0.038922277812200326,3.9254119471846183
"Compact Pade, fourth order",1.0,2000.0,4.0,500.0,2.278293404136874,4.078901460520777
"Compact Pade, fourth order",1.0,2000.0,5.0,400.0,0.8379371383425223,4.078901460520777
"Compact Pade, fourth order",1.0,2000.0,6.0,333.3333333333333,0.38112014414598505,4.078901460520777
"Compact Pade, fourth order",1.0,2000.0,8.0,250.0,0.11379917764878751,4.078901460520777
"Compact Pade, fourth order",1.0,2000.0,10.0,200.0,0.04538457900223166,4.078901460520777
"Compact Pade, fourth order",1.0,2000.0,12.0,166.66666666666666,0.02157275806682166,4.078901460520777
"Compact Pade, fourth order",1.0,2000.0,16.0,125.0,0.006728569513583152,4.078901460520777
"Staggered Lorenz, second order",1.0,2000.0,4.0,500.0,5.101133884967734,1.9984263836984228
"Staggered Lorenz, second order",1.0,2000.0,5.0,400.0,3.2756948347654213,1.9984263836984228
"Staggered Lorenz, second order",1.0,2000.0,6.0,333.3333333333333,2.278293404136874,1.9984263836984228
"Staggered Lorenz, second order",1.0,2000.0,8.0,250.0,1.2832551042578635,1.9984263836984228
"Staggered Lorenz, second order",1.0,2000.0,10.0,200.0,0.821738738665107,1.9984263836984228
"Staggered Lorenz, second order",1.0,2000.0,12.0,166.66666666666666,0.5708140972657016,1.9984263836984228
"Staggered Lorenz, second order",1.0,2000.0,16.0,125.0,0.32116988299673066,1.9984263836984228
