chi,wind_m_s,PPWz,scheme,k_m-1,m_m-1,k_over_m,vertical_wavelength_m,dz_m,analytical_intrinsic_frequency_s-1,numerical_intrinsic_frequency_s-1,relative_intrinsic_frequency_error_pct,stationarity_residual_over_N_pct
0.2,15.0,4,"Non-staggered, second order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.003663915706895132,52.66315445396382,10.532630890792765
0.2,15.0,4,"Non-staggered, fourth order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.0028057494390140553,16.906226625585628,3.3812453251171255
0.2,15.0,4,"Compact Pade, fourth order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.0025084313687639033,4.517973698495961,0.9035947396991922
0.2,15.0,4,"Staggered Lorenz, second order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,2003.9841096279126,0.0024000000000000002,0.00265335679249054,10.556533020439163,2.1113066040878326
0.2,15.0,6,"Non-staggered, second order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.0028756205601347764,19.817523338949005,3.9635046677898016
0.2,15.0,6,"Non-staggered, fourth order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.002483810910655544,3.4921212773143218,0.6984242554628644
0.2,15.0,6,"Compact Pade, fourth order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.002417655044940409,0.7356268725170291,0.14712537450340585
0.2,15.0,6,"Staggered Lorenz, second order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1335.9894064186085,0.0024000000000000002,0.0025084313687639033,4.517973698495961,0.9035947396991922
0.2,15.0,8,"Non-staggered, second order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.00265335679249054,10.556533020439163,2.1113066040878326
0.2,15.0,8,"Non-staggered, fourth order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.0024274563407023584,1.1440141959315906,0.2288028391863181
0.2,15.0,8,"Compact Pade, fourth order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.0024052521187557753,0.21883828149062665,0.04376765629812533
0.2,15.0,8,"Staggered Lorenz, second order",0.00016,0.000783836717690617,0.20412414523193154,8015.9364385116505,1001.9920548139563,0.0024000000000000002,0.0024602052906749967,2.5085537781248526,0.5017107556249706
0.4,15.0,4,"Non-staggered, second order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.006785245829293631,41.35928811028396,16.543715244113585
0.4,15.0,4,"Non-staggered, fourth order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.0054871471203226906,14.315565006722707,5.726226002689083
0.4,15.0,4,"Compact Pade, fourth order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.004988138726646583,3.9195568051371317,1.5678227220548528
0.4,15.0,4,"Staggered Lorenz, second order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,2142.34912764768,0.0048000000000000004,0.0052344933315764015,9.051944407841688,3.6207777631366755
0.4,15.0,6,"Non-staggered, second order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.00560077292488681,16.682769268475198,6.673107707390079
0.4,15.0,6,"Non-staggered, fourth order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.004945704681402265,3.035514195880509,1.2142056783522037
0.4,15.0,6,"Compact Pade, fourth order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.004830853674396483,0.6427848832600456,0.25711395330401826
0.4,15.0,6,"Staggered Lorenz, second order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1428.23275176512,0.0048000000000000004,0.0049881387266465845,3.9195568051371676,1.5678227220548673
0.4,15.0,8,"Non-staggered, second order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.0052344933315764015,9.051944407841688,3.6207777631366755
0.4,15.0,8,"Non-staggered, fourth order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.004847945384816632,0.9988621836798216,0.3995448734719287
0.4,15.0,8,"Compact Pade, fourth order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.004809187435440225,0.19140490500467888,0.07656196200187156
0.4,15.0,8,"Staggered Lorenz, second order",0.00032,0.0007332121111929344,0.4364357804719848,8569.39651059072,1071.17456382384,0.0048000000000000004,0.004904862177851276,2.1846287052349,0.87385148209396
0.6,15.0,4,"Non-staggered, second order",0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.00914856811040939,27.063445977908188,16.23806758674491
0.6,15.0,4,"Non-staggered, fourth order",0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.007945626252401103,10.355920172237537,6.213552103342523
0.6,15.0,4,"Compact Pade, fourth order",0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.007412013898066273,2.944637473142679,1.7667824838856072
0.6,15.0,4,"Staggered Lorenz, second order",0.00048,0.00064,0.75,9817.477042468103,2454.3692606170257,0.0072,0.007680619563840241,6.6752717200033445,4.005163032002007
0.6,15.0,6,"Non-staggered, second order",0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.008061403418014724,11.963936361315607,7.178361816789364
0.6,15.0,6,"Non-staggered, fourth order",0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.007364718072077828,2.28775100108095,1.3726506006485701
0.6,15.0,6,"Compact Pade, fourth order",0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.007235180427581414,0.48861704974186054,0.2931702298451163
0.6,15.0,6,"Staggered Lorenz, second order",0.00048,0.00064,0.75,9817.477042468103,1636.2461737446838,0.0072,0.007412013898066273,2.944637473142679,1.7667824838856072
