scheme,PPWz,dz_m,frequency_rad_s,final_phase_error_rad,predicted_final_phase_error_rad,final_L2_error,final_relative_energy_change
"Non-staggered, second order",2,2000.0,0.012000000000000002,-130.1290140411191,-130.12902845685733,1.57770343833953,-1.0679451007966634e-06
"Non-staggered, fourth order",2,2000.0,0.012000000000000002,-130.1290140411191,-130.12902845685733,1.57770343833953,-1.0679451007966634e-06
"Compact Pade, fourth order",2,2000.0,0.012000000000000002,-130.1290140411191,-130.12902845685733,1.57770343833953,-1.0679451007966634e-06
"Staggered Lorenz, second order",2,2000.0,0.010122763296825224,-60.626164635965495,-60.62617079502497,1.784987587853151,-3.8484515241243855e-07
"Non-staggered, second order",4,1000.0,0.010122763296825224,-60.626164635965495,-60.62617079502497,1.784987587853151,-3.8484515241243855e-07
"Non-staggered, fourth order",4,1000.0,0.00914856811040939,-24.557540646482437,-24.557544360333964,0.567303765517736,-2.09714304921782e-07
"Compact Pade, fourth order",4,1000.0,0.008678600980110304,-7.157466968003746,-7.157469821158486,0.8467017459607964,-1.5283224696904796e-07
"Staggered Lorenz, second order",4,1000.0,0.008918126937654711,-16.025681468833795,-16.025684737992595,1.9748167249467738,-1.799507735045225e-07
"Non-staggered, second order",6,666.6666666666666,0.009247424148911653,-28.21758883144497,-28.217592750297573,1.999194942005402,-2.2368180319087827e-07
"Non-staggered, fourth order",6,666.6666666666666,0.008635801717468137,-5.572866089667457,-5.572868873169823,0.6954800089987289,-1.4836452133515365e-07
"Compact Pade, fourth order",6,666.6666666666666,0.008517620490843262,-1.1973216467754355,-1.1973242449841097,1.1270733560311263,-1.3659397768428505e-07
"Staggered Lorenz, second order",6,666.6666666666666,0.008678600980110304,-7.157466968003746,-7.157469821158486,0.8467017459607964,-1.5283224696904796e-07
"Non-staggered, second order",8,500.0,0.008918126937654711,-16.025681468833795,-16.025684737992595,1.9748167249467738,-1.799507735045225e-07
"Non-staggered, fourth order",8,500.0,0.008535426620814244,-1.856576211530239,-1.8565788370066734,1.6011906210921876,-1.383156512657635e-07
"Compact Pade, fourth order",8,500.0,0.00849493755466364,-0.35750809668468264,-0.3575106604859907,0.35560721425083114,-1.344253456325717e-07
"Staggered Lorenz, second order",8,500.0,0.00859416918058413,-4.03146209115755,-4.031464808218108,1.8052774635266085,-1.4412597237889457e-07
"Non-staggered, second order",12,333.3333333333333,0.008678600980110304,-7.157466968003746,-7.157469821158486,0.8467017459607964,-1.5283224696904796e-07
"Non-staggered, fourth order",12,333.3333333333333,0.008495575595519637,-0.38113093599633885,-0.38113350076061003,0.3788283007068583,-1.344843264527995e-07
"Compact Pade, fourth order",12,333.3333333333333,0.008487111883460725,-0.06777026624462223,-0.06777281826039688,0.06775729572937504,-1.3368207540942478e-07
"Staggered Lorenz, second order",12,333.3333333333333,0.008533716556515386,-1.793262751687564,-1.793265374535418,1.5624569436090723,-1.3814697330527537e-07
"Non-staggered, second order",16,250.0,0.00859416918058413,-4.03146209115755,-4.031464808218108,1.8052774635266085,-1.4412597237889457e-07
"Non-staggered, fourth order",16,250.0,0.0084885840390282,-0.12227538780621217,-0.12227794203578955,0.12219922410313591,-1.3382317143317835e-07
"Compact Pade, fourth order",16,250.0,0.00848585231229426,-0.021135874430228796,-0.02113842455304108,0.021135480313153043,-1.335636876653723e-07
"Staggered Lorenz, second order",16,250.0,0.008512533542500157,-1.00898235451632,-1.0089849449768225,0.96672410518326,-1.3610390992013777e-07
"Non-staggered, second order",24,166.66666666666666,0.008533716556515386,-1.793262751687564,-1.793265374535418,1.5624569436090723,-1.3814697330527537e-07
"Non-staggered, fourth order",24,166.66666666666666,0.008485940339465061,-0.024394994425051664,-0.02439754468008649,0.024394388704810598,-1.3357237405031697e-07
"Compact Pade, fourth order",24,166.66666666666666,0.008485393005121142,-0.004130475096644659,-0.004133024529540972,0.004130472023088777,-1.3351958205731762e-07
"Staggered Lorenz, second order",24,166.66666666666666,0.008497395704917109,-0.4485187081449453,-0.44852127565734506,0.44476863246494036,-1.3465875714491204e-07
"Non-staggered, second order",32,125.0,0.008512533542500157,-1.00898235451632,-1.0089849449768225,0.96672410518326,-1.3610390992013777e-07
"Non-staggered, fourth order",32,125.0,0.00848549061512792,-0.007744390230925546,-0.007746939810399019,0.007744370619606653,-1.3352950656297935e-07
"Compact Pade, fourth order",32,125.0,0.008485316568947108,-0.0013005004324213587,-0.0013030497505823594,0.0013005002990793232,-1.3351145922158025e-07
"Staggered Lorenz, second order",32,125.0,0.00849209611982635,-0.25230674798149266,-0.2523093074985777,0.2516380419382721,-1.3415519062309755e-07
