scheme,PPWz,dz_m,analytical_cgz_m_s,predicted_numerical_cgz_m_s,final_energy_centroid_m,final_centroid_error_m,initial_packet_width_m,packet_widening_m,analytical_packet_widening_m,excess_numerical_widening_m
"Non-staggered, second order",2.5,1600.0,-2.7009489484713183,1.3344635895493484,49663.29924068799,28806.082557418682,9012.969849036414,57.61309568778961,1349.9841460108382,-1292.3710503230486
"Non-staggered, fourth order",2.5,1600.0,-2.7009489484713183,2.7784956622159585,58528.40489683189,37671.18821356258,9023.662377250708,2572.8175947978434,1349.9841460108382,1222.8334487870052
"Compact Pade, fourth order",2.5,1600.0,-2.7009489484713183,3.7627378489976095,56170.07716249392,35312.86047922461,9058.385878877682,13312.797888768018,1349.9841460108382,11962.81374275718
"Staggered Lorenz, second order",2.5,1600.0,-2.7009489484713183,-0.9058065438389439,33316.935342374505,12459.718659105194,9015.736864474973,50.91899577046388,1349.9841460108382,-1299.0651502403744
"Non-staggered, second order",3,1333.3333333333333,-2.7009489484713183,1.2464631817243796,49100.597056806786,28208.162995503437,9016.53436180986,82.68749981581641,1412.932167411198,-1330.2446675953815
"Non-staggered, fourth order",3,1333.3333333333333,-2.7009489484713183,1.4539828765493032,50596.00548160841,29703.57142030506,9027.863870787041,479.7581170566227,1412.932167411198,-933.1740503545752
"Compact Pade, fourth order",3,1333.3333333333333,-2.7009489484713183,-1.711949445184513e-15,40233.516133495905,19341.082072192556,9036.084324417496,724.8481432739445,1412.932167411198,-688.0840241372534
"Staggered Lorenz, second order",3,1333.3333333333333,-2.7009489484713183,-1.4456127906393947,29353.367555829303,8460.933494525954,9014.673307637064,62.16252524914307,1412.932167411198,-1350.7696421620549
"Non-staggered, second order",4,1000.0,-2.7009489484713183,-1.7876226763914965e-16,39999.559202850905,19061.877050796815,9017.034438965475,79.46835185425152,1493.6093951545554,-1414.1410433003039
"Non-staggered, fourth order",4,1000.0,-2.7009489484713183,-0.9577995151904317,32976.15760365767,12038.475451603583,9020.992935711281,147.22224614341758,1493.6093951545554,-1346.3871490111378
"Compact Pade, fourth order",4,1000.0,-2.7009489484713183,-2.069662065000248,24976.900156095504,4039.218004041413,9017.233966737424,347.7639856752721,1493.6093951545554,-1145.8454094792833
"Staggered Lorenz, second order",4,1000.0,-2.7009489484713183,-1.9962673459320786,25415.548720643787,4477.866568589696,9013.435904078142,238.4306969510235,1493.6093951545554,-1255.178698203532
"Non-staggered, second order",8,500.0,-2.7009489484713183,-1.9962673459320786,25431.97133110497,4423.857040527288,9013.431021990285,263.7962996244187,1618.6556761980992,-1354.8593765736805
"Non-staggered, fourth order",8,500.0,-2.7009489484713183,-2.5613479665884604,21793.584189629913,785.4698990522302,9012.608425980336,1173.1989188696152,1618.6556761980992,-445.45675732848395
"Compact Pade, fourth order",8,500.0,-2.7009489484713183,-2.6723624361519613,21163.982543596263,155.8682530185797,9011.894005047874,1517.6596525311106,1618.6556761980992,-100.99602366698855
"Staggered Lorenz, second order",8,500.0,-2.7009489484713183,-2.526529932982641,21989.078661747917,980.9643711702338,9012.127049672235,1073.392529150744,1618.6556761980992,-545.2631470473552
