esquema,pontos_por_comprimento_de_onda,dz_m,L2_cgz,Linf_cgz,bias_cgz
"Nao-alternada, 2a ordem",4,1000.0,0.5715958909503255,1.0,0.49650199074346235
"Nao-alternada, 2a ordem",8,500.0,0.1491914971807079,0.23986118248469152,0.13489494270371707
"Nao-alternada, 2a ordem",16,250.0,0.03765719201826453,0.05937809131202852,0.034293036069956546
"Nao-alternada, 2a ordem",32,125.0,0.009435924453488679,0.014807687483184763,0.008606935995782567
"Nao-alternada, 4a ordem",4,1000.0,0.36619727196771834,0.6192123817359672,0.32345078964292084
"Nao-alternada, 4a ordem",8,500.0,0.02966385982188695,0.047929095661711274,0.026746292691573057
"Nao-alternada, 4a ordem",16,250.0,0.001997634512718337,0.0032199947364161667,0.001802951856951241
"Nao-alternada, 4a ordem",32,125.0,0.00012730907853822696,0.0002052418047208286,0.00011489477240008831
"Compacto (Pade), 4a ordem",4,1000.0,0.13332383297223518,0.21995249102514736,0.1190961009567335
"Compacto (Pade), 4a ordem",8,500.0,0.006077523901086835,0.009823174156248518,0.005478611272112074
"Compacto (Pade), 4a ordem",16,250.0,0.0003508638124244035,0.0005659367373167976,0.00031657300592012497
"Compacto (Pade), 4a ordem",32,125.0,2.1500523883318363e-05,3.4681225792515594e-05,1.940027461848672e-05
"Alternada (Lorenz), 2a ordem",4,1000.0,0.14919149708655957,0.2398611821346972,0.13489494266222976
"Alternada (Lorenz), 2a ordem",8,500.0,0.037657191002170305,0.05937808600673669,0.03429303613213209
"Alternada (Lorenz), 2a ordem",16,250.0,0.00943591995872818,0.014807662631498523,0.008606936606122335
"Alternada (Lorenz), 2a ordem",32,125.0,0.0023603229123541304,0.003699589693542284,0.00215380729245474
