esquema,PPWz,dz_m,theta_rad,omega_analitica_s-1,omega_numerica_teorica_s-1,omega_numerica_medida_s-1,erro_relativo_frequencia,erro_fase_final_rad,previsao_fase_final_rad,erro_previsao_fase_max_rad,erro_L2_final,erro_L2_max,deriva_energia_max_abs,periodos_integrados,dt_s
"Nao-alternada, 2a ordem",2,2000.0,3.141592653589793,0.008485281374238571,0.012000000000000002,0.011999999610638275,0.4142135164863755,130.12901404111904,130.12902845685733,1.4415738291972957e-05,1.5777034383391788,1.9999366057843844,1.0679460745732783e-06,50.0,3.7024024484653046
"Nao-alternada, 2a ordem",4,1000.0,1.5707963267948966,0.008485281374238571,0.010122763296825224,0.010122763130472176,0.19297907565033984,60.62616463596544,60.62617079502497,6.159059530830291e-06,1.7849875878526356,1.999969916320888,3.8484637931990306e-07,50.0,3.7024024484653046
"Nao-alternada, 2a ordem",6,666.6666666666666,1.0471975511965976,0.008485281374238571,0.009247424148911653,0.009247424043065448,0.08981937489318287,28.217588831444914,28.217592750297573,3.918852659268168e-06,1.9991949420055057,1.9999136955383598,2.2368159324770431e-07,50.0,3.7024024484653046
"Nao-alternada, 2a ordem",8,500.0,0.7853981633974483,0.008485281374238571,0.008918126937654711,0.008918126849356403,0.05101132844362195,16.02568146883374,16.025684737992595,3.269158856511467e-06,1.9748167249471391,1.9999999042206917,1.7995003598336723e-07,50.0,3.7024024484653046
"Nao-alternada, 2a ordem",12,333.3333333333333,0.5235987755982988,0.008485281374238571,0.008678600980110304,0.008678600903048053,0.022782924959495403,7.157466968003575,7.157469821158486,2.8531549105537124e-06,0.8467017459610259,1.9999851715552692,1.5283101173491076e-07,50.0,3.7024024484653046
"Nao-alternada, 2a ordem",16,250.0,0.39269908169872414,0.008485281374238571,0.00859416918058413,0.008594169107197716,0.01283254239390689,4.031462091157493,4.031464808218108,2.7170606147208787e-06,1.8052774635272808,1.9999977714438497,1.4412445048517242e-07,50.0,3.7024024484653046
"Nao-alternada, 2a ordem",24,166.66666666666666,0.2617993877991494,0.008485281374238571,0.008533716556515386,0.008533716485673607,0.00570813262387334,1.7932627516875073,1.793265374535418,2.6228479106382707e-06,1.5624569436086915,1.5624569436086915,1.3814790911226282e-07,50.0,3.7024024484653046
"Nao-alternada, 2a ordem",32,125.0,0.19634954084936207,0.008485281374238571,0.008512533542500157,0.008512533472533142,0.0032116905842755335,1.0089823545162062,1.0089849449768225,2.5904606162363564e-06,0.9667241051833952,0.9667241051833952,1.3610318616574801e-07,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",2,2000.0,3.141592653589793,0.008485281374238571,0.012000000000000002,0.011999999610638275,0.4142135164863755,130.12901404111904,130.12902845685733,1.4415738291972957e-05,1.5777034383391788,1.9999366057843844,1.0679460745732783e-06,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",4,1000.0,1.5707963267948966,0.008485281374238571,0.00914856811040939,0.009148568010100156,0.07816907968135645,24.557540646482323,24.557544360333964,3.713851640441135e-06,0.5673037655179045,1.9999992010957817,2.0971315140005942e-07,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",6,666.6666666666666,1.0471975511965976,0.008485281374238571,0.008635801717468137,0.008635801642287161,0.01773898370719577,5.572866089667286,5.572868873169823,2.7835025369071786e-06,0.6954800089988327,1.9999993927918853,1.4836440798138284e-07,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",8,500.0,0.7853981633974483,0.008485281374238571,0.008535426620814244,0.008535426549901469,0.00590966562583753,1.8565762115301254,1.8565788370066734,2.625476547946093e-06,1.601190621092751,1.601190621092751,1.383140779687153e-07,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",12,333.3333333333333,0.5235987755982988,0.008485281374238571,0.008495575595519637,0.00849557552624667,0.0012131774485818743,0.3811309359963957,0.38113350076061003,2.564764214341153e-06,0.37882830070686835,0.37882830070686835,1.344845378392634e-07,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",16,250.0,0.39269908169872414,0.008485281374238571,0.0084885840390282,0.008488583970039763,0.0003892146477567922,0.12227538780609848,0.12227794203578955,2.5542296910735507e-06,0.12219922410316086,0.12219922410316086,1.3382187347144026e-07,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",24,166.66666666666666,0.2617993877991494,0.008485281374238571,0.008485940339465061,0.008485940270583974,7.765167898891791e-05,0.024394994424881133,0.02439754468008649,2.5502552053573158e-06,0.024394388704708687,0.024394388704708687,1.335720108963656e-07,50.0,3.7024024484653046
"Nao-alternada, 4a ordem",32,125.0,0.19634954084936207,0.008485281374238571,0.00848549061512792,0.008485490546265082,2.465115973000258e-05,0.007744390230868703,0.007746939810399019,2.5495795303162247e-06,0.007744370619564161,0.007744370619564161,1.3352954819634277e-07,50.0,3.7024024484653046
"Compacto (Pade), 4a ordem",2,2000.0,3.141592653589793,0.008485281374238571,0.012000000000000002,0.011999999610638275,0.4142135164863755,130.12901404111904,130.12902845685733,1.4415738291972957e-05,1.5777034383391788,1.9999366057843844,1.0679460745732783e-06,50.0,3.7024024484653046
"Compacto (Pade), 4a ordem",4,1000.0,1.5707963267948966,0.008485281374238571,0.008678600980110304,0.008678600903048053,0.022782924959495403,7.157466968003575,7.157469821158486,2.8531549105537124e-06,0.846701745960989,1.9999851715552688,1.5283101084673234e-07,50.0,3.7024024484653046
