esquema,PPWz,dz_m,theta_rad,cgz_analitica_central_m_s-1,cgz_numerica_central_m_s-1,cgz_analitica_medida_m_s-1,cgz_numerica_medida_m_s-1,erro_cgz_medido_m_s-1,erro_posicao_final_m,previsao_central_erro_posicao_final_m,sigma_z_numerico_inicial_m,sigma_z_numerico_final_m,aumento_largura_numerico_m,sigma_z_analitico_inicial_m,sigma_z_analitico_final_m,aumento_largura_analitico_m,excesso_alargamento_numerico_m,deriva_energia_max_abs,periodos_integrados,dt_s
"Nao-alternada, 2a ordem",2.5,1600.0,2.5132741228718345,-2.7009489484713183,1.3344635895493484,-2.622044080449845,1.306304566146604,3.928348646596449,28806.082557418682,29881.442522670615,9012.969849036414,9070.582944724203,57.61309568778961,9011.69125852095,10361.675404531788,1349.9841460108382,-1292.3710503230486,1.8194197937138057e-07,10.0,3.7024024484653046
"Nao-alternada, 4a ordem",2.5,1600.0,2.5132741228718345,-2.7009489484713183,2.7784956622159585,-2.622044080449845,2.5637398488301772,5.1857839292800225,37671.18821356258,40574.21828567718,9023.662377250708,11596.479972048552,2572.8175947978434,9011.69125852095,10361.675404531788,1349.9841460108382,1222.8334487870052,1.4424377381416775e-07,10.0,3.7024024484653046
"Compacto (Pade), 4a ordem",2.5,1600.0,2.5132741228718345,-2.7009489484713183,3.7627378489976095,-2.622044080449845,2.582392848195906,5.204436928645751,35312.86047922461,47862.33965012364,9058.385878877682,22371.1837676457,13312.797888768018,9011.69125852095,10361.675404531788,1349.9841460108382,11962.81374275718,8.873558132727055e-08,10.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",2.5,1600.0,2.5132741228718345,-2.7009489484713183,-0.9058065438389439,-2.622044080449845,-0.9025720627087356,1.7194720177411091,12459.718659105194,13292.679268509595,9015.736864474973,9066.655860245437,50.91899577046388,9011.69125852095,10361.675404531788,1349.9841460108382,-1299.0651502403744,5.5028583467731096e-08,10.0,3.7024024484653046
"Nao-alternada, 2a ordem",3,1333.3333333333333,2.0943951023931953,-2.7009489484713183,1.2464631817243796,-2.618623760358289,1.2299380286863315,3.848561789044621,28208.162995503437,29229.81667187639,9016.53436180986,9099.221861625676,82.68749981581641,9011.686295996264,10424.618463407462,1412.932167411198,-1330.2446675953815,1.3330230619335026e-07,10.0,3.7024024484653046
"Nao-alternada, 4a ordem",3,1333.3333333333333,2.0943951023931953,-2.7009489484713183,1.4539828765493032,-2.618623760358289,1.4339867124449635,4.052610472803252,29703.57142030506,30766.459524325535,9027.863870787041,9507.621987843664,479.7581170566227,9011.686295996264,10424.618463407462,1412.932167411198,-933.1740503545752,8.094677850234433e-08,10.0,3.7024024484653046
"Compacto (Pade), 4a ordem",3,1333.3333333333333,2.0943951023931953,-2.7009489484713183,-1.711949445184513e-15,-2.618623760358289,0.031577487199388014,2.650201247557677,19341.082072192556,19999.999999999985,9036.084324417496,9760.93246769144,724.8481432739445,9011.686295996264,10424.618463407462,1412.932167411198,-688.0840241372534,4.513709861431181e-08,10.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",3,1333.3333333333333,2.0943951023931953,-2.7009489484713183,-1.4456127906393947,-2.618623760358289,-1.4387843723477014,1.1798393880105877,8460.933494525954,9295.519328807883,9014.673307637064,9076.835832886207,62.16252524914307,9011.686295996264,10424.618463407462,1412.932167411198,-1350.7696421620549,4.482644233583244e-08,10.0,3.7024024484653046
"Nao-alternada, 2a ordem",4,1000.0,1.5707963267948966,-2.7009489484713183,-1.7876226763914965e-16,-2.614216553236956,-1.0924476111481323e-05,2.614205628760845,19061.877050796815,19999.999999999996,9017.034438965475,9096.502790819726,79.46835185425152,9011.68131762826,10505.290712782815,1493.6093951545554,-1414.1410433003039,7.717434302723092e-08,10.0,3.7024024484653046
"Nao-alternada, 4a ordem",4,1000.0,1.5707963267948966,-2.7009489484713183,-0.9577995151904317,-2.614216553236956,-0.9487242403251108,1.6654923129118453,12038.475451603583,12907.681459640125,9020.992935711281,9168.215181854699,147.22224614341758,9011.68131762826,10505.290712782815,1493.6093951545554,-1346.3871490111378,4.211193038727856e-08,10.0,3.7024024484653046
"Compacto (Pade), 4a ordem",4,1000.0,1.5707963267948966,-2.7009489484713183,-2.069662065000248,-2.614216553236956,-2.0372397641678237,0.5769767890691324,4039.218004041413,4674.556206094644,9017.233966737424,9364.997952412696,347.7639856752721,9011.68131762826,10505.290712782815,1493.6093951545554,-1145.8454094792833,3.066429044018548e-08,10.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",4,1000.0,1.5707963267948966,-2.7009489484713183,-1.9962673459320786,-2.614216553236956,-1.9760289076666335,0.6381876455703226,4477.866568589696,5218.029781259472,9013.435904078142,9251.866601029165,238.4306969510235,9011.68131762826,10505.290712782815,1493.6093951545554,-1255.178698203532,3.6056603369694074e-08,10.0,3.7024024484653046
"Nao-alternada, 2a ordem",8,500.0,0.7853981633974483,-2.7009489484713183,-1.9962673459320786,-2.607330313713345,-1.97435982379597,0.6329704899173747,4423.857040527288,5218.029781259472,9013.431021990285,9277.227321614704,263.7962996244187,9011.676474704178,10630.332150902277,1618.6556761980992,-1354.8593765736805,3.605660359173868e-08,10.0,3.7024024484653046
"Nao-alternada, 4a ordem",8,500.0,0.7853981633974483,-2.7009489484713183,-2.5613479665884604,-2.607330313713345,-2.489569186498773,0.11776112721457199,785.4698990522302,1033.718034262507,9012.608425980336,10185.80734484995,1173.1989188696152,9011.676474704178,10630.332150902277,1618.6556761980992,-445.45675732848395,2.77194485143184e-08,10.0,3.7024024484653046
"Compacto (Pade), 4a ordem",8,500.0,0.7853981633974483,-2.7009489484713183,-2.6723624361519613,-2.607330313713345,-2.583620670074246,0.023709643639098665,155.8682530185797,211.67754640854145,9011.894005047874,10529.553657578985,1517.6596525311106,9011.676474704178,10630.332150902277,1618.6556761980992,-100.99602366698855,2.6936224695184308e-08,10.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",8,500.0,0.7853981633974483,-2.7009489484713183,-2.526529932982641,-2.607330313713345,-2.4606434640499595,0.1466868496633853,980.9643711702338,1291.5387800083736,9012.127049672235,10085.51957882298,1073.392529150744,9011.676474704178,10630.332150902277,1618.6556761980992,-545.2631470473552,2.8877721880427032e-08,10.0,3.7024024484653046
