esquema,pontos_por_comprimento_de_onda,dz_m,theta,erro_mstar,L2_omega,Linf_omega,bias_omega
"Nao-alternada, 2a ordem",2,2000.0,3.141592653589793,1.0,0.31177456398066894,0.9500623830561077,0.2103593897646375
"Nao-alternada, 2a ordem",4,1000.0,1.5707963267948966,0.3633802276324186,0.08897372803552489,0.17187008952140248,0.07326678754815866
"Nao-alternada, 2a ordem",6,666.6666666666666,1.0471975511965976,0.17300665686731198,0.03994236615127976,0.07296864378671368,0.03392268442752985
"Nao-alternada, 2a ordem",8,500.0,0.7853981633974483,0.09968368384289383,0.022536725673732126,0.04039276902964457,0.01933451681396099
"Nao-alternada, 2a ordem",12,333.3333333333333,0.5235987755982988,0.04507034144862809,0.010036903178293108,0.01774841548862507,0.008671050243533774
"Nao-alternada, 2a ordem",16,250.0,0.39269908169872414,0.025504641595567312,0.005649654833729007,0.009943447594058566,0.00489252869828972
"Nao-alternada, 2a ordem",24,166.66666666666666,0.2617993877991494,0.011384070534630752,0.0025121726162566417,0.004406829990154064,0.00217919832738761
"Nao-alternada, 2a ordem",32,125.0,0.19634954084936207,0.0064131488557943594,0.0014133338132802662,0.002476358622183336,0.001226727894819032
"Nao-alternada, 4a ordem",2,2000.0,3.141592653589793,0.9999999999999999,0.31177456398066894,0.9500623830561077,0.2103593897646375
"Nao-alternada, 4a ordem",4,1000.0,1.5707963267948966,0.15117363684322493,0.034681534105669654,0.0629905985999488,0.02954615866667369
"Nao-alternada, 4a ordem",6,666.6666666666666,1.0471975511965976,0.03517443301186385,0.007812082190173658,0.01378148501723207,0.006757210622202674
"Nao-alternada, 4a ordem",8,500.0,0.7853981633974483,0.01178483591305235,0.002600890909985264,0.004562888325368687,0.00225604987553346
"Nao-alternada, 4a ordem",12,333.3333333333333,0.5235987755982988,0.0024249029757336116,0.0005338320845442021,0.0009344684665250092,0.00046356717550477625
"Nao-alternada, 4a ordem",16,250.0,0.39269908169872414,0.0007782941797918053,0.00017126283847599733,0.0002996774225305151,0.00014874942886832697
"Nao-alternada, 4a ordem",24,166.66666666666666,0.2617993877991494,0.0001553135632984537,3.4170909078817655e-05,5.9783783908677724e-05,2.9681134983283627e-05
"Nao-alternada, 4a ordem",32,125.0,0.19634954084936207,4.9317942536708514e-05,1.085025178520464e-05,1.8982603993463604e-05,9.424736047679373e-06
"Compacto (Pade), 4a ordem",2,2000.0,3.141592653589793,0.9999999999999999,0.31177456398066894,0.9500623830561077,0.2103593897646375
"Compacto (Pade), 4a ordem",4,1000.0,1.5707963267948966,0.04507034144862798,0.010036903178293088,0.01774841548862507,0.00867105024353376
"Compacto (Pade), 4a ordem",6,666.6666666666666,1.0471975511965976,0.007607988240774133,0.0016771896760144264,0.002939498462219397,0.0014555402527708606
"Compacto (Pade), 4a ordem",8,500.0,0.7853981633974483,0.0022746914743162483,0.0005007435686195666,0.0008765161865167669,0.0004348415837776068
"Compacto (Pade), 4a ordem",12,333.3333333333333,0.5235987755982988,0.0004314086430254882,9.492224227805103e-05,0.00016608225438098008,8.244757160068338e-05
"Compacto (Pade), 4a ordem",16,250.0,0.39269908169872414,0.00013456686351620561,2.9606214065684067e-05,5.179735807175727e-05,2.5716265731715975e-05
"Compacto (Pade), 4a ordem",24,166.66666666666666,0.2617993877991494,2.6311478280804934e-05,5.788652101149922e-06,1.0127238916753678e-05,5.028147426131069e-06
"Compacto (Pade), 4a ordem",32,125.0,0.19634954084936207,8.295455152684816e-06,1.825031362939495e-06,3.192876252740747e-06,1.5852647581002194e-06
"Alternada (Lorenz), 2a ordem",2,2000.0,3.141592653589793,0.3633802276324186,0.08897372803552489,0.17187008952140248,0.07326678754815866
"Alternada (Lorenz), 2a ordem",4,1000.0,1.5707963267948966,0.09968368384289383,0.022536725673732126,0.04039276902964457,0.01933451681396099
"Alternada (Lorenz), 2a ordem",6,666.6666666666666,1.0471975511965976,0.04507034144862809,0.010036903178293108,0.01774841548862507,0.008671050243533774
"Alternada (Lorenz), 2a ordem",8,500.0,0.7853981633974483,0.025504641595567312,0.005649654833729007,0.009943447594058566,0.00489252869828972
"Alternada (Lorenz), 2a ordem",12,333.3333333333333,0.5235987755982988,0.011384070534630752,0.0025121726162566417,0.004406829990154064,0.00217919832738761
"Alternada (Lorenz), 2a ordem",16,250.0,0.39269908169872414,0.0064131488557943594,0.0014133338132802662,0.002476358622183336,0.001226727894819032
"Alternada (Lorenz), 2a ordem",24,166.66666666666666,0.2617993877991494,0.0028533426503631887,0.000628223159985487,0.001099810569196753,0.0005455066158430917
"Alternada (Lorenz), 2a ordem",32,125.0,0.19634954084936207,0.0016056069643817228,0.0003533902146767719,0.000618486730551886,0.00030690532335517765
